Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species	ASV	SUM	Percent	CA1	CA2	CA3	GCA1	GCA2	GCA3	GNA1	GNA2	GNA3	NA1	NA2	NA3
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Streptomycetales	f__Streptomycetaceae	g__Streptomyces	s__unclassified_g__Streptomyces	ASV530	97	0.000873779	71	0	26	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Coxiellales	f__Coxiellaceae	g__Coxiella	s__unclassified_g__Coxiella	ASV135	86	0.000774691	54	7	25	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Bradyrhizobium	s__unclassified_g__Bradyrhizobium	ASV117	93	0.000837747	8	10	24	0	0	0	51	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	s__unclassified_g__Phenylobacterium	ASV531	54	0.000486434	30	0	24	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__unclassified_g__Bacillus	ASV532	45	0.000405362	0	0	24	0	0	0	0	0	0	0	0	21
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__unclassified_f__Comamonadaceae	s__unclassified_f__Comamonadaceae	ASV49	133	0.001198069	0	32	22	43	0	0	0	0	0	0	0	36
d__Bacteria	k__norank_d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Microscillaceae	g__unclassified_f__Microscillaceae	s__unclassified_f__Microscillaceae	ASV56	77	0.000693619	16	28	20	5	0	8	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Roseomonas	s__unclassified_g__Roseomonas	ASV533	52	0.000468418	33	0	19	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Streptomycetales	f__Streptomycetaceae	g__Streptomyces	s__unclassified_g__Streptomyces	ASV36	62	0.000558498	0	43	19	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingobium	s__unclassified_g__Sphingobium	ASV74	65	0.000585522	12	20	19	0	14	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Streptomycetales	f__Streptomycetaceae	g__Streptomyces	s__unclassified_g__Streptomyces	ASV534	51	0.00045941	32	0	19	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Verrucomicrobiota	c__Chlamydiae	o__Chlamydiales	f__unclassified_o__Chlamydiales	g__unclassified_o__Chlamydiales	s__unclassified_o__Chlamydiales	ASV26	154	0.001387237	0	59	18	10	27	37	3	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Bdellovibrionota	c__Oligoflexia	o__Oligoflexales	f__norank_o__Oligoflexales	g__norank_f__norank_o__Oligoflexales	s__unclassified_g__norank_f__norank_o__Oligoflexales	ASV51	110	0.000990884	7	30	18	0	12	14	0	0	0	6	0	23
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__unclassified_o__Rhizobiales	g__unclassified_o__Rhizobiales	s__unclassified_o__Rhizobiales	ASV535	50	0.000450402	32	0	18	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Fictibacillus	s__unclassified_g__Fictibacillus	ASV264	53	0.000477426	0	0	18	0	10	0	15	0	0	0	0	10
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__211ds20	f__norank_o__211ds20	g__norank_f__norank_o__211ds20	s__uncultured_bacterium_g__norank_f__norank_o__211ds20	ASV53	61	0.00054949	0	29	17	15	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__unclassified_f__Xanthobacteraceae	s__unclassified_f__Xanthobacteraceae	ASV231	48	0.000432386	0	0	17	8	5	7	7	0	0	4	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae	g__Reyranella	s__unclassified_g__Reyranella	ASV536	49	0.000441394	33	0	16	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__unclassified_f__Comamonadaceae	s__unclassified_f__Comamonadaceae	ASV48	68	0.000612546	0	32	16	0	0	0	0	0	0	5	0	15
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__unclassified_g__Pseudomonas	ASV537	16	0.000144129	0	0	16	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Afipia	s__unclassified_g__Afipia	ASV538	38	0.000342305	23	0	15	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Shinella	s__unclassified_g__Shinella	ASV111	24	0.000216193	0	11	13	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__unclassified_g__Klebsiella	ASV539	13	0.000117104	0	0	13	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Gammaproteobacteria_Incertae_Sedis	f__unclassified_o__Gammaproteobacteria_Incertae_Sedis	g__Acidibacter	s__unclassified_g__Acidibacter	ASV540	27	0.000243217	16	0	11	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__unclassified_g__Bacillus	ASV541	11	9.91E-05	0	0	11	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__Paenibacillus_sp._VKM_B-2647	ASV542	11	9.91E-05	0	0	11	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__unclassified_g__Paenibacillus	ASV543	11	9.91E-05	0	0	11	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__unclassified_g__Sphingomonas	ASV544	10	9.01E-05	0	0	10	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Devosiaceae	g__Devosia	s__unclassified_g__Devosia	ASV545	10	9.01E-05	0	0	10	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Ammoniphilus	s__unclassified_g__Ammoniphilus	ASV46	43	0.000387346	0	34	9	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiales_Incertae_Sedis	g__Nordella	s__uncultured_bacterium_g__Nordella	ASV132	17	0.000153137	0	8	9	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Arthrobacter	s__unclassified_g__Arthrobacter	ASV136	22	0.000198177	0	7	9	0	0	0	0	0	6	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Exiguobacterales	f__Exiguobacteraceae	g__Exiguobacterium	s__unclassified_g__Exiguobacterium	ASV70	30	0.000270241	0	21	9	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	s__unclassified_g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	ASV69	31	0.000279249	0	22	9	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Noviherbaspirillum	s__unclassified_g__Noviherbaspirillum	ASV546	31	0.000279249	0	0	9	0	15	0	0	0	0	0	0	7
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Mesorhizobium	s__unclassified_g__Mesorhizobium	ASV547	26	0.000234209	17	0	9	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	s__unclassified_g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	ASV548	15	0.000135121	0	0	8	0	7	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Mesorhizobium	s__unclassified_g__Mesorhizobium	ASV101	84	0.000756675	0	13	8	14	0	17	0	0	0	9	10	13
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Steroidobacterales	f__Steroidobacteraceae	g__Steroidobacter	s__unclassified_g__Steroidobacter	ASV88	24	0.000216193	0	16	8	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__uncultured_Firmicutes_bacterium_g__Paenibacillus	ASV549	7	6.31E-05	0	0	7	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__unclassified_c__Alphaproteobacteria	f__unclassified_c__Alphaproteobacteria	g__unclassified_c__Alphaproteobacteria	s__unclassified_c__Alphaproteobacteria	ASV301	23	0.000207185	7	0	7	0	0	5	4	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__unclassified_g__Novosphingobium	ASV550	24	0.000216193	17	0	7	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__unclassified_g__Sphingomonas	ASV551	7	6.31E-05	0	0	7	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Pseudonocardiales	f__Pseudonocardiaceae	g__Saccharothrix	s__unclassified_g__Saccharothrix	ASV77	53	0.000477426	0	19	7	0	0	0	0	0	0	0	7	20
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae	g__norank_f__Reyranellaceae	s__uncultured_Alphaproteobacteria_bacterium_g__norank_f__Reyranellaceae	ASV552	12	0.000108096	5	0	7	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__unclassified_g__Pseudomonas	ASV98	21	0.000189169	0	14	7	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Chloroflexi	c__Chloroflexia	o__Chloroflexales	f__Herpetosiphonaceae	g__Herpetosiphon	s__uncultured_bacterium_g__Herpetosiphon	ASV553	15	0.000135121	0	0	6	0	0	9	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Bdellovibrionota	c__Oligoflexia	o__0319-6G20	f__norank_o__0319-6G20	g__norank_f__norank_o__0319-6G20	s__uncultured_Bacteriovorax_sp._g__norank	ASV554	28	0.000252225	22	0	6	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__Pedosphaeraceae	g__norank_f__Pedosphaeraceae	s__unclassified_g__norank_f__Pedosphaeraceae	ASV555	6	5.40E-05	0	0	6	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__unclassified_g__Paenibacillus	ASV556	6	5.40E-05	0	0	6	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Corynebacteriales	f__Nocardiaceae	g__Nocardia	s__unclassified_g__Nocardia	ASV557	19	0.000171153	0	0	6	0	0	0	0	0	0	0	0	13
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Pleomorphomonadaceae	g__Chthonobacter	s__uncultured_bacterium_g__Chthonobacter	ASV141	13	0.000117104	0	7	6	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Bdellovibrionota	c__Oligoflexia	o__0319-6G20	f__norank_o__0319-6G20	g__norank_f__norank_o__0319-6G20	s__uncultured_Bacteriovorax_sp._g__norank	ASV558	16	0.000144129	10	0	6	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Exiguobacterales	f__Exiguobacteraceae	g__Exiguobacterium	s__unclassified_g__Exiguobacterium	ASV559	6	5.40E-05	0	0	6	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Sandaracinaceae	g__Sandaracinus	s__uncultured_bacterium_g__Sandaracinus	ASV560	6	5.40E-05	0	0	6	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	s__unclassified_g__Brevundimonas	ASV561	6	5.40E-05	0	0	6	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Verrucomicrobiota	c__Chlamydiae	o__Chlamydiales	f__Parachlamydiaceae	g__unclassified_f__Parachlamydiaceae	s__unclassified_f__Parachlamydiaceae	ASV107	26	0.000234209	9	11	6	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Burkholderia-Caballeronia-Paraburkholderia	s__unclassified_g__Burkholderia-Caballeronia-Paraburkholderia	ASV562	6	5.40E-05	0	0	6	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__unclassified_c__Gammaproteobacteria	f__unclassified_c__Gammaproteobacteria	g__unclassified_c__Gammaproteobacteria	s__unclassified_c__Gammaproteobacteria	ASV563	5	4.50E-05	0	0	5	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__unclassified_c__Gammaproteobacteria	f__unclassified_c__Gammaproteobacteria	g__unclassified_c__Gammaproteobacteria	s__unclassified_c__Gammaproteobacteria	ASV564	5	4.50E-05	0	0	5	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Verrucomicrobiota	c__Chlamydiae	o__Chlamydiales	f__Parachlamydiaceae	g__Candidatus_Protochlamydia	s__unclassified_g__Candidatus_Protochlamydia	ASV565	5	4.50E-05	0	0	5	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Microscillaceae	g__norank_f__Microscillaceae	s__unclassified_g__norank_f__Microscillaceae	ASV566	12	0.000108096	0	0	5	0	0	7	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Fibrobacterota	c__Fibrobacteria	o__Fibrobacterales	f__Fibrobacteraceae	g__possible_genus_04	s__uncultured_bacterium_g__possible_genus_04	ASV567	5	4.50E-05	0	0	5	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Limnobacter	s__unclassified_g__Limnobacter	ASV166	8	7.21E-05	0	3	5	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Comamonas	s__Comamonas_denitrificans	ASV186	121	0.001089972	0	0	5	0	0	0	0	0	0	98	0	18
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Ciceribacter	s__uncultured_bacterium_g__Ciceribacter	ASV568	5	4.50E-05	0	0	5	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__unclassified_g__Paenibacillus	ASV569	5	4.50E-05	0	0	5	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Weeksellaceae	g__Chryseobacterium	s__unclassified_g__Chryseobacterium	ASV570	15	0.000135121	0	0	5	0	4	6	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Microscillaceae	g__Ohtaekwangia	s__unclassified_g__Ohtaekwangia	ASV131	13	0.000117104	0	8	5	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__Nocardioides_albus	ASV571	22	0.000198177	17	0	5	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Phaselicystidaceae	g__Phaselicystis	s__unclassified_g__Phaselicystis	ASV572	21	0.000189169	16	0	5	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__IMCC26256	f__norank_o__IMCC26256	g__norank_f__norank_o__IMCC26256	s__uncultured_Acidimicrobiia_bacterium_g__norank_f__norank	ASV573	4	3.60E-05	0	0	4	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_graminisolvens	ASV237	11	9.91E-05	0	0	4	0	0	0	0	0	0	3	4	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__norank_o__Microtrichales	g__norank_f__norank_o__Microtrichales	s__unclassified_g__norank_f__norank_o__Microtrichales	ASV574	4	3.60E-05	0	0	4	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__unclassified_k__norank_d__Bacteria	c__unclassified_k__norank_d__Bacteria	o__unclassified_k__norank_d__Bacteria	f__unclassified_k__norank_d__Bacteria	g__unclassified_k__norank_d__Bacteria	s__unclassified_k__norank_d__Bacteria	ASV575	4	3.60E-05	0	0	4	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__Paenibacillus_thermoaerophilus	ASV576	4	3.60E-05	0	0	4	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Streptomycetales	f__Streptomycetaceae	g__Streptomyces	s__unclassified_g__Streptomyces	ASV119	46	0.00041437	0	10	4	0	0	0	0	0	0	0	0	32
d__Bacteria	k__norank_d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Cytophagaceae	g__Sporocytophaga	s__uncultured_bacterium_g__Sporocytophaga	ASV116	13	0.000117104	0	10	3	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Leifsonia	s__unclassified_g__Leifsonia	ASV181	1857	0.016727921	0	2	3	0	0	0	0	0	0	75	1706	71
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Rhodobacter	s__unclassified_g__Rhodobacter	ASV128	19	0.000171153	0	8	3	0	0	0	0	0	0	0	0	8
d__Bacteria	k__norank_d__Bacteria	p__Acidobacteriota	c__Thermoanaerobaculia	o__Thermoanaerobaculales	f__Thermoanaerobaculaceae	g__Subgroup_10	s__Acidobacteria_bacterium_WY67	ASV143	12	0.000108096	0	6	3	0	0	0	0	0	3	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingoaurantiacus	s__eubacterium_sp._2-13	ASV577	3	2.70E-05	0	0	3	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Acetobacter	s__unclassified_g__Acetobacter	ASV578	3	2.70E-05	0	0	3	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__unclassified_o__Solirubrobacterales	g__unclassified_o__Solirubrobacterales	s__unclassified_o__Solirubrobacterales	ASV579	3	2.70E-05	0	0	3	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micromonosporales	f__Micromonosporaceae	g__Micromonospora	s__unclassified_g__Micromonospora	ASV152	40	0.000360321	0	5	3	0	18	8	0	0	0	0	0	6
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella	s__unclassified_g__Legionella	ASV150	12	0.000108096	2	5	3	0	0	0	0	0	0	0	0	2
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Aquabacterium	s__unclassified_g__Aquabacterium	ASV580	3	2.70E-05	0	0	3	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Thioclava	s__uncultured_Alphaproteobacteria_bacterium_g__Thioclava	ASV581	3	2.70E-05	0	0	3	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Chloroflexi	c__TK10	o__norank_c__TK10	f__norank_o__norank_c__TK10	g__norank_f__norank_o__norank_c__TK10	s__metagenome_g__norank_f__norank_o__norank_c__TK10	ASV582	2	1.80E-05	0	0	2	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Diplorickettsiales	f__Diplorickettsiaceae	g__norank_f__Diplorickettsiaceae	s__unclassified_g__norank_f__Diplorickettsiaceae	ASV167	5	4.50E-05	0	3	2	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Aeromonadales	f__Aeromonadaceae	g__Aeromonas	s__unclassified_g__Aeromonas	ASV223	14	0.000126112	0	0	2	0	6	0	0	0	0	6	0	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Actinomarinales	f__norank_o__Actinomarinales	g__norank_f__norank_o__Actinomarinales	s__uncultured_soil_bacterium_g__norank_f__norank_o__Actinomarinales	ASV583	2	1.80E-05	0	0	2	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__Pedosphaeraceae	g__norank_f__Pedosphaeraceae	s__unclassified_g__norank_f__Pedosphaeraceae	ASV584	2	1.80E-05	0	0	2	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__Microtrichaceae	g__norank_f__Microtrichaceae	s__metagenome_g__norank_f__Microtrichaceae	ASV585	2	1.80E-05	0	0	2	0	0	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__unclassified_o__Enterobacterales	g__unclassified_o__Enterobacterales	s__unclassified_o__Enterobacterales	ASV419	519	0.00467517	0	0	0	20	477	22	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Klebsiella	s__unclassified_g__Klebsiella	ASV420	389	0.003504126	0	0	0	19	345	15	0	0	0	0	0	10
d__Bacteria	k__norank_d__Bacteria	p__Chloroflexi	c__Chloroflexia	o__Chloroflexales	f__Herpetosiphonaceae	g__Herpetosiphon	s__uncultured_bacterium_g__Herpetosiphon	ASV729	57	0.000513458	0	0	0	0	57	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__unclassified_f__Alcaligenaceae	s__unclassified_f__Alcaligenaceae	ASV730	57	0.000513458	0	0	0	0	57	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__unclassified_f__Comamonadaceae	s__unclassified_f__Comamonadaceae	ASV731	45	0.000405362	0	0	0	0	45	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Ferrovibrionales	f__Ferrovibrionaceae	g__Ferrovibrio	s__unclassified_g__Ferrovibrio	ASV732	36	0.000324289	0	0	0	0	36	0	0	0	0	0	0	0
d__Bacteria	k__norank_d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__unclassified_f__Comamonadaceae	s__unclassified_f__Comamonadaceae	ASV733	35	0.000315281	0	0	0	0	35	0	0	0	0	0	0	0
