Genus	NA1	NA2	NA3	GNA1	GNA2	GNA3	mean1	mean2	FC	LOG2FC	PVALUE
g__Arthrobacter	0	0	0	0	0	6	0	2	#DIV/0!	#DIV/0!	0.373900966
g__Noviherbaspirillum	0	0	7	0	0	0	2.333333333	0	0	#NUM!	0.373900966
g__Nocardia	0	0	13	0	0	0	4.333333333	0	0	#NUM!	0.373900966
g__Subgroup_10	0	0	0	0	0	3	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Micromonospora	0	0	6	0	0	0	2	0	0	#NUM!	0.373900966
g__Aeromonas	6	0	0	0	0	0	2	0	0	#NUM!	0.373900966
g__Klebsiella	0	0	10	0	0	0	3.333333333	0	0	#NUM!	0.373900966
g__Micromonospora	0	0	11	0	0	0	3.666666667	0	0	#NUM!	0.373900966
g__Ramlibacter	0	7	0	0	0	0	2.333333333	0	0	#NUM!	0.373900966
g__norank_f__norank_o__211ds20	0	0	11	0	0	0	3.666666667	0	0	#NUM!	0.373900966
g__Microbacterium	0	0	6	0	0	0	2	0	0	#NUM!	0.373900966
g__Diaphorobacter	0	0	0	7	0	0	0	2.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Bacillus	0	0	0	7	0	0	0	2.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Brevundimonas	7	0	0	0	0	0	2.333333333	0	0	#NUM!	0.373900966
g__Pseudolabrys	0	0	0	3	0	0	0	1	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Microbacteriaceae	7	0	0	0	0	0	2.333333333	0	0	#NUM!	0.373900966
g__Ramlibacter	0	7	0	0	0	0	2.333333333	0	0	#NUM!	0.373900966
g__unclassified_f__Thermomonosporaceae	0	21	0	0	0	0	7	0	0	#NUM!	0.373900966
g__unclassified_f__Oxalobacteraceae	0	0	0	46	0	0	0	15.33333333	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__Diplorickettsiaceae	0	0	0	21	0	0	0	7	#DIV/0!	#DIV/0!	0.373900966
g__Nocardioides	0	0	0	19	0	0	0	6.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Bacillus	0	0	0	14	0	0	0	4.666666667	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Micrococcaceae	0	0	0	11	0	0	0	3.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Paenibacillus	0	0	0	11	0	0	0	3.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Acidibacter	0	0	0	10	0	0	0	3.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Mesorhizobium	0	0	0	6	0	0	0	2	#DIV/0!	#DIV/0!	0.373900966
g__Paenibacillus	0	0	0	6	0	0	0	2	#DIV/0!	#DIV/0!	0.373900966
g__Sphingoaurantiacus	0	0	0	5	0	0	0	1.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Aeromicrobium	0	0	0	5	0	0	0	1.666666667	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Sphingomonadaceae	0	0	0	5	0	0	0	1.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Lysobacter	0	0	0	5	0	0	0	1.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Amycolatopsis	0	0	0	3	0	0	0	1	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__SC-I-84	0	0	0	3	0	0	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Anaeromyxobacter	0	0	0	3	0	0	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Croceicoccus	0	0	0	3	0	0	0	1	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Rhodobacteraceae	0	0	0	3	0	0	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Legionella	0	0	0	3	0	0	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Xanthobacter	0	0	0	3	0	0	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Paenibacillus	0	0	0	3	0	0	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Cellvibrio	3	0	0	0	0	0	1	0	0	#NUM!	0.373900966
g__Devosia	12	0	0	0	0	0	4	0	0	#NUM!	0.373900966
g__norank_f__cvE6	0	0	12	0	0	0	4	0	0	#NUM!	0.373900966
g__Ramlibacter	0	0	26	0	0	0	8.666666667	0	0	#NUM!	0.373900966
g__Noviherbaspirillum	0	0	12	0	0	0	4	0	0	#NUM!	0.373900966
g__Sphingomonas	10	0	0	0	0	0	3.333333333	0	0	#NUM!	0.373900966
g__possible_genus_04	0	0	0	0	0	3	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Haliangium	0	0	3	0	0	0	1	0	0	#NUM!	0.373900966
g__unclassified_f__Solirubrobacteraceae	7	0	0	0	0	0	2.333333333	0	0	#NUM!	0.373900966
g__Neochlamydia	0	0	6	0	0	0	2	0	0	#NUM!	0.373900966
g__Phreatobacter	3	0	0	0	0	0	1	0	0	#NUM!	0.373900966
g__Burkholderia-Caballeronia-Paraburkholderia	852	0	0	0	0	0	284	0	0	#NUM!	0.373900966
g__unclassified_o__Burkholderiales	44	0	0	0	0	0	14.66666667	0	0	#NUM!	0.373900966
g__unclassified_f__Alcaligenaceae	44	0	0	0	0	0	14.66666667	0	0	#NUM!	0.373900966
g__unclassified_f__Oxalobacteraceae	24	0	0	0	0	0	8	0	0	#NUM!	0.373900966
g__norank_f__Mitochondria	10	0	0	0	0	0	3.333333333	0	0	#NUM!	0.373900966
g__Reyranella	7	0	0	0	0	0	2.333333333	0	0	#NUM!	0.373900966
g__Thermoactinomyces	7	0	0	0	0	0	2.333333333	0	0	#NUM!	0.373900966
g__Ramlibacter	7	0	0	0	0	0	2.333333333	0	0	#NUM!	0.373900966
g__Pseudonocardia	6	0	0	0	0	0	2	0	0	#NUM!	0.373900966
g__unclassified_f__Comamonadaceae	6	0	0	0	0	0	2	0	0	#NUM!	0.373900966
g__unclassified_f__Rhodanobacteraceae	5	0	0	0	0	0	1.666666667	0	0	#NUM!	0.373900966
g__Blastococcus	5	0	0	0	0	0	1.666666667	0	0	#NUM!	0.373900966
g__Catenulispora	5	0	0	0	0	0	1.666666667	0	0	#NUM!	0.373900966
g__Altererythrobacter	5	0	0	0	0	0	1.666666667	0	0	#NUM!	0.373900966
g__Erythrobacter	5	0	0	0	0	0	1.666666667	0	0	#NUM!	0.373900966
g__Corynebacterium	3	0	0	0	0	0	1	0	0	#NUM!	0.373900966
g__Methylobacterium-Methylorubrum	3	0	0	0	0	0	1	0	0	#NUM!	0.373900966
g__unclassified_c__Gammaproteobacteria	3	0	0	0	0	0	1	0	0	#NUM!	0.373900966
g__norank_f__Methylopilaceae	3	0	0	0	0	0	1	0	0	#NUM!	0.373900966
g__Mycobacterium	3	0	0	0	0	0	1	0	0	#NUM!	0.373900966
g__unclassified_c__Gammaproteobacteria	0	0	40	0	0	0	13.33333333	0	0	#NUM!	0.373900966
g__Acidibacter	0	0	37	0	0	0	12.33333333	0	0	#NUM!	0.373900966
g__Paenibacillus	0	0	26	0	0	0	8.666666667	0	0	#NUM!	0.373900966
g__Bosea	0	0	13	0	0	0	4.333333333	0	0	#NUM!	0.373900966
g__Sphingomonas	0	0	13	0	0	0	4.333333333	0	0	#NUM!	0.373900966
g__unclassified_f__Comamonadaceae	0	0	11	0	0	0	3.666666667	0	0	#NUM!	0.373900966
g__Massilia	0	0	11	0	0	0	3.666666667	0	0	#NUM!	0.373900966
g__Paracoccus	0	0	10	0	0	0	3.333333333	0	0	#NUM!	0.373900966
g__Pseudorhodoplanes	0	0	10	0	0	0	3.333333333	0	0	#NUM!	0.373900966
g__Comamonas	0	0	10	0	0	0	3.333333333	0	0	#NUM!	0.373900966
g__unclassified_f__Rhodanobacteraceae	0	0	10	0	0	0	3.333333333	0	0	#NUM!	0.373900966
g__Paenibacillus	0	0	10	0	0	0	3.333333333	0	0	#NUM!	0.373900966
g__unclassified_f__Xanthobacteraceae	0	0	10	0	0	0	3.333333333	0	0	#NUM!	0.373900966
g__norank_f__norank_o__norank_c__TK10	0	0	5	0	0	0	1.666666667	0	0	#NUM!	0.373900966
g__norank_f__norank_o__Micavibrionales	0	0	5	0	0	0	1.666666667	0	0	#NUM!	0.373900966
g__unclassified_f__Acetobacteraceae	0	0	5	0	0	0	1.666666667	0	0	#NUM!	0.373900966
g__Brevibacillus	0	0	5	0	0	0	1.666666667	0	0	#NUM!	0.373900966
g__Novosphingobium	0	0	5	0	0	0	1.666666667	0	0	#NUM!	0.373900966
g__Bryobacter	0	0	3	0	0	0	1	0	0	#NUM!	0.373900966
g__Burkholderia-Caballeronia-Paraburkholderia	0	0	3	0	0	0	1	0	0	#NUM!	0.373900966
g__unclassified_f__Microscillaceae	0	0	3	0	0	0	1	0	0	#NUM!	0.373900966
g__unclassified_o__Microtrichales	0	0	3	0	0	0	1	0	0	#NUM!	0.373900966
g__Actinomyces	0	0	3	0	0	0	1	0	0	#NUM!	0.373900966
g__Blastococcus	0	0	3	0	0	0	1	0	0	#NUM!	0.373900966
g__Methylobacterium-Methylorubrum	0	0	3	0	0	0	1	0	0	#NUM!	0.373900966
g__unclassified_f__Microbacteriaceae	0	0	3	0	0	0	1	0	0	#NUM!	0.373900966
g__Nocardioides	0	0	3	0	0	0	1	0	0	#NUM!	0.373900966
g__norank_f__Xanthobacteraceae	0	0	3	0	0	0	1	0	0	#NUM!	0.373900966
g__Bosea	0	76	0	0	0	0	25.33333333	0	0	#NUM!	0.373900966
g__Paenibacillus	0	47	0	0	0	0	15.66666667	0	0	#NUM!	0.373900966
g__Streptomyces	0	24	0	0	0	0	8	0	0	#NUM!	0.373900966
g__Paenibacillus	0	12	0	0	0	0	4	0	0	#NUM!	0.373900966
g__Hyphomicrobium	0	7	0	0	0	0	2.333333333	0	0	#NUM!	0.373900966
g__unclassified_f__Comamonadaceae	0	7	0	0	0	0	2.333333333	0	0	#NUM!	0.373900966
g__Chryseobacterium	0	6	0	0	0	0	2	0	0	#NUM!	0.373900966
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0	6	0	0	0	0	2	0	0	#NUM!	0.373900966
g__unclassified_f__Rhodocyclaceae	0	5	0	0	0	0	1.666666667	0	0	#NUM!	0.373900966
g__Prosthecomicrobium	0	5	0	0	0	0	1.666666667	0	0	#NUM!	0.373900966
g__Reyranella	0	5	0	0	0	0	1.666666667	0	0	#NUM!	0.373900966
g__Paracoccus	0	5	0	0	0	0	1.666666667	0	0	#NUM!	0.373900966
g__Noviherbaspirillum	0	5	0	0	0	0	1.666666667	0	0	#NUM!	0.373900966
g__Pseudolabrys	0	5	0	0	0	0	1.666666667	0	0	#NUM!	0.373900966
g__Peredibacter	0	3	0	0	0	0	1	0	0	#NUM!	0.373900966
g__Cutibacterium	0	3	0	0	0	0	1	0	0	#NUM!	0.373900966
g__norank_f__D05-2	0	3	0	0	0	0	1	0	0	#NUM!	0.373900966
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0	3	0	0	0	0	1	0	0	#NUM!	0.373900966
g__Leifsonia	0	3	0	0	0	0	1	0	0	#NUM!	0.373900966
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0	0	0	0	0	24	0	8	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Cellulomonadaceae	0	0	0	0	0	13	0	4.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Bacillus	0	0	0	0	0	12	0	4	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__Mitochondria	0	0	0	0	0	7	0	2.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Cupriavidus	0	0	0	0	0	7	0	2.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Fictibacillus	0	0	0	0	0	5	0	1.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Herpetosiphon	0	0	0	0	0	3	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Paenibacillus	0	0	0	0	0	3	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Enterococcus	0	0	0	0	0	3	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0	0	0	0	0	3	0	1	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Methylophilaceae	0	10	13	15	69	0	7.666666667	28	3.652173913	1.868755467	0.39418593
g__Sphingobium	45	38	108	45	63	0	63.66666667	36	0.565445026	-0.822541326	0.395479089
g__Streptomyces	0	0	94	0	6	0	31.33333333	2	0.063829787	-3.969626351	0.403055971
g__Aerococcus	3	2	14	0	7	0	6.333333333	2.333333333	0.368421053	-1.440572591	0.423996676
g__Delftia	0	0	32	35	40	0	10.66666667	25	2.34375	1.22881869	0.433925638
g__Sphingomonas	3	0	0	0	24	0	1	8	8	3	0.434249637
g__Reyranella	0	0	16	0	0	2	5.333333333	0.666666667	0.125	-3	0.434249637
g__Sphingoaurantiacus	0	2	0	0	14	0	0.666666667	4.666666667	7	2.807354922	0.443938889
g__Bacillus	0	7	0	0	47	0	2.333333333	15.66666667	6.714285714	2.74723393	0.44729571
g__Streptomyces	80	0	15	20	12	0	31.66666667	10.66666667	0.336842105	-1.569855608	0.45202395
g__Lechevalieria	26	60	18	169	24	31	34.66666667	74.66666667	2.153846154	1.106915204	0.459577684
g__Bradyrhizobium	27	139	41	33	61	23	69	39	0.565217391	-0.823122238	0.463211398
g__Bosea	14	0	12	10	0	4	8.666666667	4.666666667	0.538461538	-0.893084796	0.488513821
g__Pseudonocardia	0	0	8	0	2	0	2.666666667	0.666666667	0.25	-2	0.507157507
g__Corynebacterium	9	15	17	6	70	7	13.66666667	27.66666667	2.024390244	1.017487427	0.546983861
g__Nordella	0	0	6	0	0	2	2	0.666666667	0.333333333	-1.584962501	0.561438044
g__Sorangium	0	0	23	0	8	0	7.666666667	2.666666667	0.347826087	-1.523561956	0.571234655
g__Devosia	21	21	21	17	30	0	21	15.66666667	0.746031746	-0.422691072	0.572402979
g__Massilia	0	0	3	0	8	0	1	2.666666667	2.666666667	1.415037499	0.589831691
g__unclassified_f__Alcaligenaceae	0	0	37	0	14	0	12.33333333	4.666666667	0.378378378	-1.402098444	0.592162634
g__unclassified_f__Oxalobacteraceae	0	0	93	0	36	0	31	12	0.387096774	-1.36923381	0.598195508
g__Arthrobacter	0	0	15	10	17	0	5	9	1.8	0.847996907	0.59947788
g__Fictibacillus	12	5	0	0	41	0	5.666666667	13.66666667	2.411764706	1.270089163	0.600856107
g__Paenibacillus	0	13	0	0	33	0	4.333333333	11	2.538461538	1.343954401	0.602947246
g__Dongia	2	0	0	0	5	0	0.666666667	1.666666667	2.5	1.321928095	0.607167578
g__Paenibacillus	0	0	21	9	0	0	7	3	0.428571429	-1.222392421	0.627193176
g__Steroidobacter	2	38	3	18	5	0	14.33333333	7.666666667	0.534883721	-0.902702799	0.634990275
g__Pseudomonas	0	4	0	9	0	0	1.333333333	3	2.25	1.169925001	0.638395674
g__unclassified_f__Comamonadaceae	44	68	158	93	92	22	90	69	0.766666667	-0.38332864	0.642627593
g__Pseudarthrobacter	0	0	4	8	0	0	1.333333333	2.666666667	2	1	0.677868829
g__Nocardia	0	0	37	9	11	0	12.33333333	6.666666667	0.540540541	-0.887525271	0.680607308
g__Microbacterium	15	10	0	5	22	7	8.333333333	11.33333333	1.36	0.443606651	0.688000133
g__unclassified_f__Oxalobacteraceae	0	0	17	0	33	0	5.666666667	11	1.941176471	0.956931278	0.688666721
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	197	0	0	54	59	0	65.66666667	37.66666667	0.573604061	-0.801872857	0.702962741
g__Candidatus_Ovatusbacter	18	23	40	11	48	4	27	21	0.777777778	-0.362570079	0.71296282
g__unclassified_f__Oxalobacteraceae	29	0	0	0	16	0	9.666666667	5.333333333	0.551724138	-0.857980995	0.714705817
g__unclassified_f__Comamonadaceae	0	14	20	11	37	0	11.33333333	16	1.411764706	0.497499659	0.72717864
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0	0	14	0	8	0	4.666666667	2.666666667	0.571428571	-0.807354922	0.728690044
g__unclassified_f__Xanthobacteraceae	4	0	0	7	0	0	1.333333333	2.333333333	1.75	0.807354922	0.728690044
g__Brevundimonas	0	15	12	10	11	11	9	10.66666667	1.185185185	0.245112498	0.735155204
g__Devosia	0	0	21	5	19	6	7	10	1.428571429	0.514573173	0.736850638
g__unclassified_f__Comamonadaceae	50	0	0	0	30	0	16.66666667	10	0.6	-0.736965594	0.74886845
g__possible_genus_04	0	3	0	0	5	0	1	1.666666667	1.666666667	0.736965594	0.74886845
g__unclassified_f__Oxalobacteraceae	0	58	0	0	95	0	19.33333333	31.66666667	1.637931034	0.711874613	0.756264798
g__Pseudolabrys	21	22	0	8	25	0	14.33333333	11	0.76744186	-0.381870635	0.762100366
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	37	96	9	29	138	15	47.33333333	60.66666667	1.281690141	0.358047521	0.788865166
g__Fictibacillus	0	0	10	15	0	0	3.333333333	5	1.5	0.584962501	0.795255008
g__unclassified_c__Alphaproteobacteria	0	6	0	4	0	0	2	1.333333333	0.666666667	-0.584962501	0.795255008
g__Rhizobacter	10	8	0	0	14	0	6	4.666666667	0.777777778	-0.362570079	0.822818513
g__unclassified_f__Oxalobacteraceae	106	0	60	37	172	0	55.33333333	69.66666667	1.259036145	0.332319701	0.824680494
g__Mycobacterium	0	5	0	0	7	0	1.666666667	2.333333333	1.4	0.485426827	0.82756472
g__Exiguobacterium	0	3	4	0	9	0	2.333333333	3	1.285714286	0.362570079	0.846643236
g__Bacillus	13	0	0	17	0	0	4.333333333	5.666666667	1.307692308	0.387023123	0.860830175
g__Rhodococcus	0	0	47	0	37	0	15.66666667	12.33333333	0.787234043	-0.345135486	0.875341041
g__unclassified_f__Rhizobiaceae	26	19	28	49	20	10	24.33333333	26.33333333	1.082191781	0.113956189	0.875812832
g__unclassified_f__Oxalobacteraceae	0	36	18	0	45	0	18	15	0.833333333	-0.263034406	0.877390122
g__P3OB-42	8	0	0	0	10	0	2.666666667	3.333333333	1.25	0.321928095	0.883461067
g__Ensifer	30	10	0	18	17	9	13.33333333	14.66666667	1.1	0.137503524	0.892560283
g__Sphingomonas	0	6	0	0	5	0	2	1.666666667	0.833333333	-0.263034406	0.904298898
g__Sphingomonas	0	0	11	0	13	0	3.666666667	4.333333333	1.181818182	0.2410081	0.912169166
g__Bauldia	6	5	8	9	9	0	6.333333333	6	0.947368421	-0.078002512	0.920238445
g__Bdellovibrio	2	2	11	7	6	3	5	5.333333333	1.066666667	0.093109404	0.922814375
g__Cupriavidus	14	24	33	42	33	0	23.66666667	25	1.056338028	0.079071571	0.928176818
g__Pseudolabrys	0	0	9	0	8	0	3	2.666666667	0.888888889	-0.169925001	0.937805217
g__Azospirillum	27	56	250	46	202	104	111	117.3333333	1.057057057	0.080053252	0.943183995
g__unclassified_f__Comamonadaceae	24	0	0	4	18	0	8	7.333333333	0.916666667	-0.125530882	0.948418787
g__unclassified_f__Comamonadaceae	346	348	508	357	692	183	400.6666667	410.6666667	1.024958403	0.03556536	0.952784625
g__Azospirillum	0	0	39	0	29	9	13	12.66666667	0.974358974	-0.037474705	0.983945661
g__Altererythrobacter	0	7	0	0	7	0	2.333333333	2.333333333	1	0	1
g__Acidibacter	0	7	0	7	0	0	2.333333333	2.333333333	1	0	1
g__unclassified_f__Comamonadaceae	0	0	6	6	0	0	2	2	1	0	1
