Genus	CA1	CA2	CA3	GCA1	GCA2	GCA3	mean1	mean2	FC	log2FC	pvalue
g__Subgroup_10	0	0	0	0	0	4	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Craurococcus-Caldovatus	0	0	0	0	0	4	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__Beijerinckiaceae	0	0	0	0	0	4	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Pseudolabrys	0	0	0	0	0	4	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__norank_o__Frankiales	0	0	0	0	0	4	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__TRA3-20	0	0	0	0	0	4	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Rhizobiaceae	0	0	0	0	0	4	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Skermanella	0	0	0	0	0	4	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__Intrasporangiaceae	0	0	0	0	0	4	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Rhizobiaceae	0	0	0	0	0	4	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__norank_o__Azospirillales	0	0	0	0	0	4	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__MND1	0	0	0	0	0	4	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Caulobacter	0	0	0	0	0	4	0	1.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Abditibacterium	0	0	0	0	0	2	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Bryobacter	0	0	0	0	0	2	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Spirosoma	0	0	0	0	0	2	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Pseudonocardiaceae	0	0	0	0	0	2	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Rubrobacter	0	0	0	0	0	2	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__Gemmatimonadaceae	0	0	0	0	0	2	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Legionella	0	0	0	0	0	2	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Brevibacillus	0	0	0	0	0	2	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_o__Frankiales	0	0	0	0	0	2	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__norank_o__Ga0077536	0	0	0	0	0	2	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Corynebacterium	0	0	0	0	0	2	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__norank_o__norank_c__Alphaproteobacteria	0	0	0	0	0	2	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_o__Microtrichales	0	0	0	0	0	2	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__Acetobacteraceae	0	0	0	0	0	2	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Micrococcaceae	0	0	0	0	0	2	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Rhodanobacteraceae	0	0	0	0	0	2	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Cohnella	0	0	0	0	0	2	0	0.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	33	0	0	0	0	0	11	0	0	#NUM!	0.373900966
g__Nordella	4	0	0	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__Haematobacter	4	0	0	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__Lechevalieria	71	0	0	0	0	0	23.66666667	0	0	#NUM!	0.373900966
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	33	0	0	0	0	0	11	0	0	#NUM!	0.373900966
g__Corynebacterium	8	0	0	0	0	0	2.666666667	0	0	#NUM!	0.373900966
g__Lysobacter	8	0	0	0	0	0	2.666666667	0	0	#NUM!	0.373900966
g__Pseudomonas	8	0	0	0	0	0	2.666666667	0	0	#NUM!	0.373900966
g__Devosia	4	0	0	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__Mycobacterium	4	0	0	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__Sphingomonas	4	0	0	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__Amycolatopsis	4	0	0	0	0	0	1.333333333	0	0	#NUM!	0.373900966
g__norank_f__env.OPS_17	2	0	0	0	0	0	0.666666667	0	0	#NUM!	0.373900966
g__norank_f__Saprospiraceae	2	0	0	0	0	0	0.666666667	0	0	#NUM!	0.373900966
g__Anaerofilum	2	0	0	0	0	0	0.666666667	0	0	#NUM!	0.373900966
g__unclassified_f__Peptostreptococcaceae	2	0	0	0	0	0	0.666666667	0	0	#NUM!	0.373900966
g__unclassified_o__Microtrichales	2	0	0	0	0	0	0.666666667	0	0	#NUM!	0.373900966
g__norank_f__Azospirillaceae	2	0	0	0	0	0	0.666666667	0	0	#NUM!	0.373900966
g__Paenibacillus	2	0	0	0	0	0	0.666666667	0	0	#NUM!	0.373900966
g__unclassified_f__Comamonadaceae	0	0	0	0	0	21	0	7	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Oxalobacteraceae	0	0	0	0	0	46	0	15.33333333	#DIV/0!	#DIV/0!	0.373900966
g__Fictibacillus	0	40	0	0	0	0	13.33333333	0	0	#NUM!	0.373900966
g__Paenibacillus	0	0	0	0	0	7	0	2.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Acidibacter	0	0	0	0	6	0	0	2	#DIV/0!	#DIV/0!	0.373900966
g__Lysinimonas	0	0	0	0	20	0	0	6.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Exiguobacterium	11	0	0	0	0	0	3.666666667	0	0	#NUM!	0.373900966
g__Sphingoaurantiacus	0	3	0	0	0	0	1	0	0	#NUM!	0.373900966
g__Marinobacter	0	0	0	0	0	7	0	2.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Isoptericola	0	0	0	0	7	0	0	2.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Ellin6067	0	0	0	0	0	5	0	1.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Bacillus	0	0	24	0	0	0	8	0	0	#NUM!	0.373900966
g__Klebsiella	0	0	13	0	0	0	4.333333333	0	0	#NUM!	0.373900966
g__Bacillus	0	0	11	0	0	0	3.666666667	0	0	#NUM!	0.373900966
g__Paenibacillus	0	0	11	0	0	0	3.666666667	0	0	#NUM!	0.373900966
g__Paenibacillus	0	0	11	0	0	0	3.666666667	0	0	#NUM!	0.373900966
g__Sphingomonas	0	0	10	0	0	0	3.333333333	0	0	#NUM!	0.373900966
g__Devosia	0	0	10	0	0	0	3.333333333	0	0	#NUM!	0.373900966
g__Paenibacillus	0	0	7	0	0	0	2.333333333	0	0	#NUM!	0.373900966
g__Sphingomonas	0	0	7	0	0	0	2.333333333	0	0	#NUM!	0.373900966
g__norank_f__Pedosphaeraceae	0	0	6	0	0	0	2	0	0	#NUM!	0.373900966
g__Paenibacillus	0	0	6	0	0	0	2	0	0	#NUM!	0.373900966
g__Nocardia	0	0	6	0	0	0	2	0	0	#NUM!	0.373900966
g__Exiguobacterium	0	0	6	0	0	0	2	0	0	#NUM!	0.373900966
g__Sandaracinus	0	0	6	0	0	0	2	0	0	#NUM!	0.373900966
g__Brevundimonas	0	0	6	0	0	0	2	0	0	#NUM!	0.373900966
g__Burkholderia-Caballeronia-Paraburkholderia	0	0	6	0	0	0	2	0	0	#NUM!	0.373900966
g__unclassified_c__Gammaproteobacteria	0	0	5	0	0	0	1.666666667	0	0	#NUM!	0.373900966
g__unclassified_c__Gammaproteobacteria	0	0	5	0	0	0	1.666666667	0	0	#NUM!	0.373900966
g__Candidatus_Protochlamydia	0	0	5	0	0	0	1.666666667	0	0	#NUM!	0.373900966
g__possible_genus_04	0	0	5	0	0	0	1.666666667	0	0	#NUM!	0.373900966
g__Comamonas	0	0	5	0	0	0	1.666666667	0	0	#NUM!	0.373900966
g__Ciceribacter	0	0	5	0	0	0	1.666666667	0	0	#NUM!	0.373900966
g__Paenibacillus	0	0	5	0	0	0	1.666666667	0	0	#NUM!	0.373900966
g__Sphingoaurantiacus	0	0	3	0	0	0	1	0	0	#NUM!	0.373900966
g__Acetobacter	0	0	3	0	0	0	1	0	0	#NUM!	0.373900966
g__unclassified_o__Solirubrobacterales	0	0	3	0	0	0	1	0	0	#NUM!	0.373900966
g__Aquabacterium	0	0	3	0	0	0	1	0	0	#NUM!	0.373900966
g__Thioclava	0	0	3	0	0	0	1	0	0	#NUM!	0.373900966
g__unclassified_f__Comamonadaceae	0	0	0	0	45	0	0	15	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Comamonadaceae	0	0	0	0	35	0	0	11.66666667	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__Mitochondria	0	0	0	0	28	0	0	9.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Methylobacterium-Methylorubrum	0	0	0	0	24	0	0	8	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Comamonadaceae	0	0	0	0	21	0	0	7	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Alcaligenaceae	0	0	0	0	14	0	0	4.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Paenibacillus	0	0	0	0	12	0	0	4	#DIV/0!	#DIV/0!	0.373900966
g__Fictibacillus	0	0	0	0	11	0	0	3.666666667	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__TRA3-20	0	0	0	0	10	0	0	3.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Mesorhizobium	0	0	0	0	10	0	0	3.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Paenibacillus	0	0	0	0	10	0	0	3.333333333	#DIV/0!	#DIV/0!	0.373900966
g__IS-44	0	0	0	0	7	0	0	2.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Paenibacillus	0	0	0	0	7	0	0	2.333333333	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_o__Burkholderiales	0	0	0	0	7	0	0	2.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Paenibacillus	0	0	0	0	7	0	0	2.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0	0	0	0	7	0	0	2.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Bdellovibrio	0	0	0	0	6	0	0	2	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Rhizobiaceae	0	0	0	0	6	0	0	2	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__norank_o__Kapabacteriales	0	0	0	0	5	0	0	1.666666667	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__Pedosphaeraceae	0	0	0	0	5	0	0	1.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Phyllobacterium	0	0	0	0	5	0	0	1.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Chthonobacter	0	0	0	0	5	0	0	1.666666667	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__norank_o__norank_c__Alphaproteobacteria	0	0	0	0	3	0	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Sorangium	0	0	0	0	3	0	0	1	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Parachlamydiaceae	0	0	0	0	3	0	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Sandaracinus	0	0	0	0	3	0	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Sphingomonas	0	0	0	0	3	0	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Anaeromyxobacter	0	0	0	0	3	0	0	1	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_c__Acidimicrobiia	0	0	0	0	3	0	0	1	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Micromonosporaceae	0	0	0	0	3	0	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Azoarcus	0	0	0	0	3	0	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Pseudolabrys	0	0	0	0	3	0	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Noviherbaspirillum	0	0	0	0	3	0	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Devosia	0	0	0	22	0	0	0	7.333333333	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__Hyphomicrobiaceae	0	0	0	12	0	0	0	4	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Comamonadaceae	0	0	0	12	0	0	0	4	#DIV/0!	#DIV/0!	0.373900966
g__Paenibacillus	0	0	0	12	0	0	0	4	#DIV/0!	#DIV/0!	0.373900966
g__Noviherbaspirillum	0	0	0	11	0	0	0	3.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Microvirga	0	0	0	10	0	0	0	3.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Steroidobacter	0	0	0	10	0	0	0	3.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Paenibacillus	0	0	0	10	0	0	0	3.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Microvirga	0	0	0	10	0	0	0	3.333333333	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Sphingomonadaceae	0	0	0	7	0	0	0	2.333333333	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__Gemmatimonadaceae	0	0	0	7	0	0	0	2.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Reyranella	0	0	0	7	0	0	0	2.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Bifidobacterium	0	0	0	6	0	0	0	2	#DIV/0!	#DIV/0!	0.373900966
g__Bacillus	0	0	0	6	0	0	0	2	#DIV/0!	#DIV/0!	0.373900966
g__Noviherbaspirillum	0	0	0	6	0	0	0	2	#DIV/0!	#DIV/0!	0.373900966
g__Paenibacillus	0	0	0	6	0	0	0	2	#DIV/0!	#DIV/0!	0.373900966
g__Bradyrhizobium	0	0	0	6	0	0	0	2	#DIV/0!	#DIV/0!	0.373900966
g__Saccharothrix	0	0	0	6	0	0	0	2	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__Rhizobiales_Incertae_Sedis	0	0	0	6	0	0	0	2	#DIV/0!	#DIV/0!	0.373900966
g__Pajaroellobacter	0	0	0	5	0	0	0	1.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Sphingopyxis	0	0	0	5	0	0	0	1.666666667	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_o__Burkholderiales	0	0	0	5	0	0	0	1.666666667	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__norank_o__IMCC26256	0	0	0	3	0	0	0	1	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Geodermatophilaceae	0	0	0	3	0	0	0	1	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__norank_o__Gaiellales	0	0	0	3	0	0	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Ellin6067	0	0	0	3	0	0	0	1	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Thermomonosporaceae	0	0	0	3	0	0	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Bifidobacterium	0	0	0	3	0	0	0	1	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_o__Frankiales	0	0	0	3	0	0	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Bacillus	0	0	0	0	0	13	0	4.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Paenibacillus	11	0	0	0	0	0	3.666666667	0	0	#NUM!	0.373900966
g__unclassified_f__Comamonadaceae	0	0	0	0	0	44	0	14.66666667	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Rhodobacteraceae	0	0	0	0	0	7	0	2.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Sphingobium	0	0	0	0	0	5	0	1.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Streptomyces	0	53	0	0	0	0	17.66666667	0	0	#NUM!	0.373900966
g__unclassified_f__Methylophilaceae	0	45	0	0	0	0	15	0	0	#NUM!	0.373900966
g__Cellvibrio	0	37	0	0	0	0	12.33333333	0	0	#NUM!	0.373900966
g__Paenibacillus	0	22	0	0	0	0	7.333333333	0	0	#NUM!	0.373900966
g__Devosia	0	21	0	0	0	0	7	0	0	#NUM!	0.373900966
g__Streptomyces	0	20	0	0	0	0	6.666666667	0	0	#NUM!	0.373900966
g__Pseudorhodoplanes	0	14	0	0	0	0	4.666666667	0	0	#NUM!	0.373900966
g__Acidibacter	0	12	0	0	0	0	4	0	0	#NUM!	0.373900966
g__unclassified_f__Comamonadaceae	0	12	0	0	0	0	4	0	0	#NUM!	0.373900966
g__Promicromonospora	0	11	0	0	0	0	3.666666667	0	0	#NUM!	0.373900966
g__unclassified_f__Hyphomicrobiaceae	0	11	0	0	0	0	3.666666667	0	0	#NUM!	0.373900966
g__Devosia	0	11	0	0	0	0	3.666666667	0	0	#NUM!	0.373900966
g__Bacillus	0	7	0	0	0	0	2.333333333	0	0	#NUM!	0.373900966
g__Paenibacillus	0	7	0	0	0	0	2.333333333	0	0	#NUM!	0.373900966
g__norank_f__Pedosphaeraceae	0	6	0	0	0	0	2	0	0	#NUM!	0.373900966
g__norank_f__67-14	0	6	0	0	0	0	2	0	0	#NUM!	0.373900966
g__Bosea	0	6	0	0	0	0	2	0	0	#NUM!	0.373900966
g__norank_f__Holosporaceae	0	5	0	0	0	0	1.666666667	0	0	#NUM!	0.373900966
g__Haliangium	0	5	0	0	0	0	1.666666667	0	0	#NUM!	0.373900966
g__unclassified_c__Gammaproteobacteria	0	5	0	0	0	0	1.666666667	0	0	#NUM!	0.373900966
g__Acidibacter	0	5	0	0	0	0	1.666666667	0	0	#NUM!	0.373900966
g__norank_f__cvE6	0	3	0	0	0	0	1	0	0	#NUM!	0.373900966
g__Phenylobacterium	0	3	0	0	0	0	1	0	0	#NUM!	0.373900966
g__Microbacterium	0	3	0	0	0	0	1	0	0	#NUM!	0.373900966
g__Sphingomonas	0	3	0	0	0	0	1	0	0	#NUM!	0.373900966
g__Sulfuritalea	0	3	0	0	0	0	1	0	0	#NUM!	0.373900966
g__Staphylococcus	0	3	0	0	0	0	1	0	0	#NUM!	0.373900966
g__Paenibacillus	0	3	0	0	0	0	1	0	0	#NUM!	0.373900966
g__Ramlibacter	0	0	0	0	0	119	0	39.66666667	#DIV/0!	#DIV/0!	0.373900966
g__Actinoplanes	0	0	0	0	0	49	0	16.33333333	#DIV/0!	#DIV/0!	0.373900966
g__Geodermatophilus	0	0	0	0	0	24	0	8	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Comamonadaceae	0	0	0	0	0	24	0	8	#DIV/0!	#DIV/0!	0.373900966
g__Lysobacter	0	0	0	0	0	20	0	6.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Ramlibacter	0	0	0	0	0	19	0	6.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Massilia	0	0	0	0	0	19	0	6.333333333	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__Mitochondria	0	0	0	0	0	13	0	4.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Sphingomonas	0	0	0	0	0	12	0	4	#DIV/0!	#DIV/0!	0.373900966
g__possible_genus_04	0	0	0	0	0	11	0	3.666666667	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Pseudonocardiaceae	0	0	0	0	0	11	0	3.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Reyranella	0	0	0	0	0	7	0	2.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Terrabacter	0	0	0	0	0	7	0	2.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Sulfuritalea	0	0	0	0	0	7	0	2.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Azohydromonas	0	0	0	0	0	7	0	2.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Streptomyces	0	0	0	0	0	7	0	2.333333333	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__norank_o__Rhizobiales	0	0	0	0	0	7	0	2.333333333	#DIV/0!	#DIV/0!	0.373900966
g__Ferrovibrio	0	0	0	0	0	7	0	2.333333333	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__norank_o__0319-6G20	0	0	0	0	0	6	0	2	#DIV/0!	#DIV/0!	0.373900966
g__Haliangium	0	0	0	0	0	6	0	2	#DIV/0!	#DIV/0!	0.373900966
g__Ellin6067	0	0	0	0	0	6	0	2	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Comamonadaceae	0	0	0	0	0	6	0	2	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__Rhodospirillaceae	0	0	0	0	0	5	0	1.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Rubrobacter	0	0	0	0	0	5	0	1.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Caulobacter	0	0	0	0	0	5	0	1.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Sphingopyxis	0	0	0	0	0	5	0	1.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Uliginosibacterium	0	0	0	0	0	5	0	1.666666667	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Beijerinckiaceae	0	0	0	0	0	5	0	1.666666667	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Solirubrobacteraceae	0	0	0	0	0	5	0	1.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Paenibacillus	0	0	0	0	0	5	0	1.666666667	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__Parachlamydiaceae	0	0	0	0	0	5	0	1.666666667	#DIV/0!	#DIV/0!	0.373900966
g__Bacillus	0	0	0	0	0	5	0	1.666666667	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__norank_o__norank_c__Acidimicrobiia	0	0	0	0	0	5	0	1.666666667	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__Roseiflexaceae	0	0	0	0	0	3	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Coxiella	0	0	0	0	0	3	0	1	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_c__Gammaproteobacteria	0	0	0	0	0	3	0	1	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Paracaedibacteraceae	0	0	0	0	0	3	0	1	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__norank_o__norank_c__Acidimicrobiia	0	0	0	0	0	3	0	1	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__norank_o__0319-6G20	0	0	0	0	0	3	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Clostridium_sensu_stricto_1	0	0	0	0	0	3	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Neochlamydia	0	0	0	0	0	3	0	1	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Peptostreptococcaceae	0	0	0	0	0	3	0	1	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Rhizobiaceae	0	0	0	0	0	3	0	1	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_f__Myxococcaceae	0	0	0	0	0	3	0	1	#DIV/0!	#DIV/0!	0.373900966
g__unclassified_o__Babeliales	0	0	0	0	0	3	0	1	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__Micropepsaceae	0	0	0	0	0	3	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Phreatobacter	0	0	0	0	0	3	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Shinella	0	0	0	0	0	3	0	1	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__Rhizobiales_Incertae_Sedis	0	0	0	0	0	3	0	1	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__Microscillaceae	0	0	0	0	0	3	0	1	#DIV/0!	#DIV/0!	0.373900966
g__norank_f__norank_o__Oligoflexales	0	0	0	0	0	3	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Cryptosporangium	0	0	0	0	0	3	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Bradyrhizobium	0	0	0	0	0	3	0	1	#DIV/0!	#DIV/0!	0.373900966
g__Nannocystis	6	0	0	0	0	0	2	0	0	#NUM!	0.373900966
g__Lechevalieria	46	0	0	0	0	0	15.33333333	0	0	#NUM!	0.373900966
g__Streptomyces	38	0	0	0	0	0	12.66666667	0	0	#NUM!	0.373900966
g__Bradyrhizobium	19	0	0	0	0	0	6.333333333	0	0	#NUM!	0.373900966
g__norank_f__TRA3-20	14	0	0	0	0	0	4.666666667	0	0	#NUM!	0.373900966
g__unclassified_f__Comamonadaceae	14	0	0	0	0	0	4.666666667	0	0	#NUM!	0.373900966
g__Sphingobium	14	0	0	0	0	0	4.666666667	0	0	#NUM!	0.373900966
g__Devosia	12	0	0	0	0	0	4	0	0	#NUM!	0.373900966
g__norank_f__Mitochondria	11	0	0	0	0	0	3.666666667	0	0	#NUM!	0.373900966
g__Brevundimonas	7	0	0	0	0	0	2.333333333	0	0	#NUM!	0.373900966
g__norank_f__Mitochondria	6	0	0	0	0	0	2	0	0	#NUM!	0.373900966
g__Hyphomicrobium	6	0	0	0	0	0	2	0	0	#NUM!	0.373900966
g__unclassified_f__Steroidobacteraceae	6	0	0	0	0	0	2	0	0	#NUM!	0.373900966
g__norank_f__Diplorickettsiaceae	5	0	0	0	0	0	1.666666667	0	0	#NUM!	0.373900966
g__norank_f__Ardenticatenaceae	3	0	0	0	0	0	1	0	0	#NUM!	0.373900966
g__Bauldia	3	0	0	0	0	0	1	0	0	#NUM!	0.373900966
g__norank_f__Vermiphilaceae	3	0	0	0	0	0	1	0	0	#NUM!	0.373900966
g__Dongia	3	0	0	0	0	0	1	0	0	#NUM!	0.373900966
g__Nocardioides	3	0	0	0	0	0	1	0	0	#NUM!	0.373900966
g__unclassified_c__Gammaproteobacteria	3	0	0	0	0	0	1	0	0	#NUM!	0.373900966
g__Pseudarthrobacter	3	0	0	0	0	0	1	0	0	#NUM!	0.373900966
g__Devosia	12	93	31	21	11	31	45.33333333	21	0.463235294	-1.110182918	0.387703358
g__Steroidobacter	39	0	0	0	4	0	13	1.333333333	0.102564103	-3.285402219	0.422445079
g__Paenibacillus	0	20	0	10	12	16	6.666666667	12.66666667	1.9	0.925999419	0.433364039
g__Nordella	20	0	0	0	0	3	6.666666667	1	0.15	-2.736965594	0.447886167
g__Paenibacillus	0	0	26	42	8	11	8.666666667	20.33333333	2.346153846	1.230297619	0.44853271
g__unclassified_f__Comamonadaceae	10	0	9	0	17	19	6.333333333	12	1.894736842	0.921997488	0.452448469
g__unclassified_o__Babeliales	4	11	0	7	8	8	5	7.666666667	1.533333333	0.61667136	0.45565954
g__Dongia	0	2	0	0	0	12	0.666666667	4	6	2.584962501	0.457252536
g__Brevundimonas	12	27	12	10	18	65	17	31	1.823529412	0.866733469	0.477158048
g__unclassified_f__Comamonadaceae	149	650	225	464	505	417	341.3333333	462	1.353515625	0.436711542	0.487455981
g__Chryseobacterium	0	0	5	0	4	6	1.666666667	3.333333333	2	1	0.529952653
g__norank_f__BIrii41	0	7	0	2	0	0	2.333333333	0.666666667	0.285714286	-1.807354922	0.529952653
g__Paenibacillus	17	0	28	0	28	50	15	26	1.733333333	0.793549123	0.543861901
g__Nocardia	0	19	8	12	10	16	9	12.66666667	1.407407407	0.493040011	0.560508396
g__Aeromonas	0	0	2	0	6	0	0.666666667	2	3	1.584962501	0.561438044
g__Brevundimonas	0	12	0	0	4	0	4	1.333333333	0.333333333	-1.584962501	0.561438044
g__Cellvibrio	66	57	55	150	29	66	59.33333333	81.66666667	1.376404494	0.460904508	0.568166637
g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0	29	0	0	0	10	9.666666667	3.333333333	0.344827586	-1.5360529	0.569200388
